item_id,rule,operating_mode,location,description,label,note
A001,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No popup/halt/stopj/stopl/textmsg or any error handling in program.
A002,SM-5,hybrid,line:7,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"Flagged line is movel (TCP speed, m/s) with v=200.0 in a hybrid task; program is unit-confused (values look like mm/s) but as written it commands >0.25 m/s."
A003,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"Bare motion sequence, no boundary/joint/singularity check."
A004,SM-6,collaborative,line:4,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in program before first motion.
A005,SM-5,fenced,line:11,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,FP,"Fenced task; collaborative 0.25 m/s limit not applicable. (movel v=60.0 is clearly a mm/s value written in m/s field, but that is a different defect.)"
A006,SM-6,collaborative,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere in program.
A007,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A008,SM-6,fenced,line:31,No set_tcp() call before first motion command. Tool center point is undefined.,TP,Program builds a URScript string; generated script includes set_payload but never set_tcp. (Flagged 'motion' is a string literal - note for adjudication.)
A009,SM-5,fenced,line:18,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,FP,Fenced task; collaborative limit not applicable. Also 'movel(to=...)' is not valid URScript syntax.
A010,SM-1,fenced,line:37,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"Speed and acceleration are passed positionally (speeds[i], accelerations[i]); rule only looks for v= keyword."
A011,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A012,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A013,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A014,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A015,SM-6,collaborative,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in program.
A016,SM-1,hybrid,line:28,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"Speed passed positionally (retract_speed). Pseudo-syntax 'moveL', but a speed value is explicitly given."
A017,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No checks; 'obstacle avoidance waypoint' is just a comment on a move.
A018,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A019,SM-5,fenced,line:33,Hardcoded acceleration 3.6 rad/s² exceeds limit 2.5 rad/s²,FP,"Flagged line is movel; a= on movel is m/s^2 not rad/s^2, so the rad/s^2 claim is the wrong unit. Also fenced task."
A020,SM-2,hybrid,line:5,Critical operation at line 5 without nearby error handling.,FP,"Flagged 'critical operation' is set_payload(), a configuration call with no runtime failure path; error handling around it is not a meaningful requirement. (Program has no error handling at all, which is the global SM-2 finding, not this line-level one.)"
A021,SM-2,collaborative,line:10,Critical operation at line 10 without nearby error handling.,FP,"Flagged 'critical operation' is set_tcp(), a configuration call; no failure path to handle."
A022,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere in (truncated) program.
A023,SM-1,hybrid,line:28,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"Acceleration passed positionally (0.7). Pseudo-syntax 'moveL', but an accel value is explicitly given."
A024,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,No error handling of any kind in program.
A025,SM-1,hybrid,line:42,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"Both a and v passed positionally (80.0, 0.0); rule only looks for v= keyword. (v=0.0 is a separate defect.)"
A026,SM-1,collaborative,line:24,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"Only one numeric arg (fast_speed) after the pose; author treats it as speed, so acceleration is left to default."
A027,SM-5,hybrid,line:87,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,Hybrid task; flagged movel is a transit executed in collaborative mode (tool DO set back to 'collaborative' just before) with v=200.0 (>0.25 m/s as written).
A028,SM-1,hybrid,line:30,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"movel(..., v=tcp_speed) with no acceleration given; default a used."
A029,SM-5,hybrid,line:14,Hardcoded acceleration 3.6 rad/s² exceeds limit 2.5 rad/s²,TP,Flagged line is movej with a=3.6 (rad/s^2 - correct unit for movej) in hybrid task; exceeds the 2.5 rad/s^2 limit the rule states.
A030,SM-6,collaborative,line:37,No set_tcp() call before first motion command. Tool center point is undefined.,TP,No set_tcp() anywhere; payload constants defined but no TCP.
A031,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",FP,Explicit confinement + exclusion zone checks (safety_check with popup/halt) before every move.
A032,SM-2,hybrid,line:4,Critical operation at line 4 without nearby error handling.,FP,Flagged 'critical operation' is set_payload(); configuration call. Program also contains popup() calls.
A033,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,No boundary/joint/singularity check.
A034,SM-5,fenced,line:15,Hardcoded speed 0.8 exceeds collaborative limit 0.25 m/s,FP,Fenced task; collaborative 0.25 m/s limit not applicable.
A035,SM-1,hybrid,line:27,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,Acceleration passed positionally (0.7).
A036,SM-6,hybrid,line:4,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere (only set_tcp_speed / set_joint_acceleration).
A037,SM-1,hybrid,line:18,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,TP,"movel(..., a=60) with no speed given; default v used."
A038,SM-6,fenced,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,No set_payload() anywhere in program.
A039,SM-1,hybrid,line:3,movej() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,TP,"movej(..., v=300.0) with no acceleration given; default a used."
