model,condition,task_id,n_reps,text_identical,status_identical,binary_identical,count_identical,rules_identical,count_sd,count_range
codellama:34b,baseline,T001,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T002,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T003,3,1,1,1,1,1,0.0,0
codellama:34b,baseline,T004,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T005,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T006,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T007,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T008,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T009,3,1,1,1,1,1,0.0,0
codellama:34b,baseline,T010,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T011,3,1,1,1,1,1,0.0,0
codellama:34b,baseline,T012,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T013,3,0,0,1,1,1,0.0,0
codellama:34b,baseline,T014,3,0,1,1,1,1,0.0,0
codellama:34b,baseline,T015,3,1,1,1,1,1,0.0,0
codellama:34b,safety,T001,3,0,0,0,0,0,2.6246692913372702,6
codellama:34b,safety,T002,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T003,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T004,3,1,1,1,1,1,0.0,0
codellama:34b,safety,T005,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T006,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T007,3,1,1,1,1,1,0.0,0
codellama:34b,safety,T008,3,0,0,1,1,1,0.0,0
codellama:34b,safety,T009,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T010,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T011,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T012,3,1,1,1,1,1,0.0,0
codellama:34b,safety,T013,3,1,1,1,1,1,0.0,0
codellama:34b,safety,T014,3,0,1,1,1,1,0.0,0
codellama:34b,safety,T015,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T001,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T002,3,0,1,1,0,0,5.656854249492381,12
deepseek-coder-v2:16b,baseline,T003,3,0,1,1,1,1,0.0,0
deepseek-coder-v2:16b,baseline,T004,3,0,1,1,0,0,4.714045207910316,10
