set,task_id,program,gate,pre_SM-1,corr_SM-1,pre_SM-2,corr_SM-2,pre_SM-3,corr_SM-3,pre_SM-4,corr_SM-4,pre_SM-5,corr_SM-5,pre_SM-6,corr_SM-6,pre_SM-7,corr_SM-7,pre_total,corr_total,pre_flagged,corr_flagged
Translator,T001,T001_pick_place_collab,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T002,T002_linear_weld_fenced,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T003,T003_palletize_hybrid,1,0,0,0,0,0,0,1,1,3,0,2,2,0,0,6,3,1,1
Translator,T004,T004_multi_wp_obstacle_collab,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T005,T005_inspection_scan_collab,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T006,T006_bin_pick_suction_fenced,1,0,0,0,0,0,0,1,1,6,0,2,2,0,0,9,3,1,1
Translator,T007,T007_curved_weld_hybrid,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T008,T008_heavy_depal_fenced,1,0,0,0,0,0,0,1,1,5,0,2,2,0,0,8,3,1,1
Translator,T009,T009_laser_scan_fenced,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T010,T010_screw_assembly_hybrid,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T011,T011_dual_zone_pick_hybrid,1,0,0,0,0,0,0,1,1,3,0,2,2,0,0,6,3,1,1
Translator,T012,T012_spot_weld_collab,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T013,T013_collab_suction_pallet,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T014,T014_hybrid_camera_inspect,1,0,0,0,0,0,0,1,1,2,0,2,2,0,0,5,3,1,1
Translator,T015,T015_laser_marking_fenced,1,0,0,0,0,0,0,1,1,4,0,2,2,0,0,7,3,1,1
Translator + preamble,T001,T001_pick_place_collab,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T002,T002_linear_weld_fenced,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T003,T003_palletize_hybrid,1,0,0,2,2,0,0,1,1,3,0,0,0,0,0,6,3,1,1
Translator + preamble,T004,T004_multi_wp_obstacle_collab,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T005,T005_inspection_scan_collab,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T006,T006_bin_pick_suction_fenced,1,0,0,2,2,0,0,1,1,6,0,0,0,0,0,9,3,1,1
Translator + preamble,T007,T007_curved_weld_hybrid,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T008,T008_heavy_depal_fenced,1,0,0,2,2,0,0,1,1,5,0,0,0,0,0,8,3,1,1
Translator + preamble,T009,T009_laser_scan_fenced,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T010,T010_screw_assembly_hybrid,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T011,T011_dual_zone_pick_hybrid,1,0,0,2,2,0,0,1,1,3,0,0,0,0,0,6,3,1,1
Translator + preamble,T012,T012_spot_weld_collab,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T013,T013_collab_suction_pallet,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T014,T014_hybrid_camera_inspect,1,0,0,2,2,0,0,1,1,2,0,0,0,0,0,5,3,1,1
Translator + preamble,T015,T015_laser_marking_fenced,1,0,0,2,2,0,0,1,1,4,0,0,0,0,0,7,3,1,1
Vendor / community examples,,admittance_control.script,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,3,3,1,1
Vendor / community examples,,dmgmori_full.script,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendor / community examples,,dmgmori_simple.script,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendor / community examples,,festo_io_library.script,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendor / community examples,,festo_servo_library.script,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vendor / community examples,,joint_impedance_cartesian_circle_motion.script,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Vendor / community examples,,read-digital.script,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Vendor / community examples,,rparak_Move_Circle.script,1,2,2,3,3,1,1,0,0,0,0,1,1,0,0,7,7,1,1
Vendor / community examples,,rparak_PickAndPlace_UR10e.script,1,4,4,5,5,1,1,0,0,0,0,1,1,0,0,11,11,1,1
"LLM baseline (E1, gate-passing)",T001,T001_qwen2.5-coder_32b_baseline_rep1.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T001,T001_qwen2.5-coder_32b_baseline_rep2.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T001,T001_qwen2.5-coder_32b_baseline_rep3.urscript,1,4,4,1,1,0,0,0,0,0,0,2,2,0,0,7,7,1,1
"LLM baseline (E1, gate-passing)",T002,T002_deepseek-coder-v2_16b_baseline_rep1.urscript,1,0,0,2,2,0,0,1,1,10,10,1,1,0,0,14,14,1,1
"LLM baseline (E1, gate-passing)",T002,T002_deepseek-coder-v2_16b_baseline_rep2.urscript,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,1
