item_id,rule,operating_mode,location,description,label,note
A001,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,
A002,SM-5,hybrid,line:7,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"movel, literal v=200.0 > 0.5 (hybrid için varsayılan limit ≤0.5)"
A003,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
A004,SM-6,collaborative,line:4,No set_tcp() call before first motion command. Tool center point is undefined.,TP,
A005,SM-5,fenced,line:11,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,TP,"movel, literal v=60.0 > fenced 0.5"
A006,SM-6,collaborative,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,
A007,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
A008,SM-6,fenced,line:31,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"string ile üretilen script; set_payload var, set_tcp hiç yok"
A009,SM-5,fenced,line:18,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"movel, literal v=200.0 > fenced 0.5"
A010,SM-1,fenced,line:37,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,hız pozisyonel (speeds[i])
A011,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
A012,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
A013,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,
A014,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,
A015,SM-6,collaborative,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,
A016,SM-1,hybrid,line:28,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,hız pozisyonel değişken (retract_speed)
A017,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
A018,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,
