rule_id,rule_type,attack_id,short_name,iso_clause,clause_title,source_file,test_file
DM-1,safety,A1,Speed value-range check,5.5.3,Speed limit(s) monitoring,enfield_watchdog_static/rules/a1_speed.py,enfield_watchdog_static/test/test_a1_speed.py
DM-1,safety,A4,Payload mass/CoG bounds,5.1.15,Payload setting,enfield_watchdog_static/rules/a4_payload.py,enfield_watchdog_static/test/test_a4_payload.py
DM-2,safety,A2,Safe-zone halfspace test,5.7.4,Software-based limiting,enfield_watchdog_static/rules/a2_zone.py,enfield_watchdog_static/test/test_a2_zone.py
DM-3,safety,A3,Orientation cone test,5.7.4,Software-based limiting,enfield_watchdog_static/rules/a3_orientation.py,enfield_watchdog_static/test/test_a3_orientation.py
DM-4,safety,A5,E-Stop command presence in motion sequence,5.4.2,Emergency stop,enfield_watchdog_static/rules/a5_logic.py,enfield_watchdog_static/test/test_a5_logic.py
DM-4,safety,A5,Safety-logic structural completeness,5.4,Stopping functions,enfield_watchdog_static/rules/a5_logic.py,enfield_watchdog_static/test/test_a5_logic.py
DM-5,safety,A6,Frame consistency check,5.7.4,Software-based limiting,enfield_watchdog_static/rules/a6_frame.py,enfield_watchdog_static/test/test_a6_frame.py
DM-5,safety,A6,Frame cross-frame deviation,5.7.4,Software-based limiting,enfield_watchdog_static/rules/a6_frame.py,enfield_watchdog_static/test/test_a6_frame.py
DM-6,safety,A7,Tool identity check,5.1.14,TCP setting,enfield_watchdog_static/rules/a7_tool.py,enfield_watchdog_static/test/test_a7_tool.py
DM-6,safety,A7,Tool activation mode,5.1.14,TCP setting,enfield_watchdog_static/rules/a7_tool.py,enfield_watchdog_static/test/test_a7_tool.py
DM-7,safety,A8,Prompt-security config integrity,5.1.16,Cybersecurity,enfield_watchdog_static/rules/a8_prompt.py,enfield_watchdog_static/test/test_a8_prompt.py
SM-1,security (CWE-20),—,Improper input validation — missing v=/a= on motion calls,5.1.16,Cybersecurity,enfield_watchdog_static/rules/sm1_input_validation.py,enfield_watchdog_static/test/test_sm1_input_validation.py
SM-2,security (CWE-252),—,Unchecked return — no error handling near critical ops,—,(CWE-only; no ISO anchor),enfield_watchdog_static/rules/sm2_unchecked_return.py,enfield_watchdog_static/test/test_sm2_unchecked_return.py
SM-3,security (CWE-693),—,Protection mechanism failure — interlock bypass,5.1.16,Cybersecurity,enfield_watchdog_static/rules/sm3_protection_failure.py,enfield_watchdog_static/test/test_sm3_protection_failure.py
SM-4,security (CWE-754),—,Improper check for unusual conditions,—,(CWE-only; no ISO anchor),enfield_watchdog_static/rules/sm4_unusual_conditions.py,enfield_watchdog_static/test/test_sm4_unusual_conditions.py
SM-5,security (CWE-798),—,Hardcoded unsafe parameters (speed/accel),5.1.16,Cybersecurity,enfield_watchdog_static/rules/sm5_hardcoded_values.py,enfield_watchdog_static/test/test_sm5_hardcoded_values.py
SM-6a,security,—,Missing set_tcp preamble before motion,5.1.14,TCP setting,enfield_watchdog_static/rules/sm6_missing_preamble.py,enfield_watchdog_static/test/test_sm6_missing_preamble.py
SM-6b,security,—,Missing set_payload preamble before motion,5.1.15,Payload setting,enfield_watchdog_static/rules/sm6_missing_preamble.py,enfield_watchdog_static/test/test_sm6_missing_preamble.py
SM-7,security,—,Prompt injection marker leaked into generated code,5.1.16,Cybersecurity,enfield_watchdog_static/rules/sm7_prompt_marker.py,enfield_watchdog_static/test/test_sm7_prompt_marker.py
