item_id,rule,operating_mode,location,description,label,note
A001,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A002,SM-5,hybrid,line:7,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=TP; agreed"
A003,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A004,SM-6,collaborative,line:4,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A005,SM-5,fenced,line:11,Hardcoded speed 60.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5 (amended): fenced cap 0.50 m/s; movel literal v= exceeds it. B labelled FP because the description quotes the collaborative 0.25 figure, which the amended guide says to ignore."
A006,SM-6,collaborative,line:3,"No set_payload() call before first motion command. Payload mass/CoG is undefined, risking incorrect torque compensation.",TP,"A=TP, B=TP; agreed"
A007,SM-4,hybrid,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A008,SM-6,fenced,line:31,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A009,SM-5,fenced,line:18,Hardcoded speed 200.0 exceeds collaborative limit 0.25 m/s,TP,"A=TP, B=FP; adjudicated TP: guide SM-5 (amended): fenced cap 0.50 m/s; movel literal v= exceeds it. B labelled FP because the description quotes the collaborative 0.25 figure, which the amended guide says to ignore."
A010,SM-1,fenced,line:37,movej() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A011,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A012,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A013,SM-2,collaborative,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A014,SM-2,fenced,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
A015,SM-6,collaborative,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A016,SM-1,hybrid,line:28,movel() without explicit speed parameter (v=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A017,SM-4,collaborative,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A018,SM-4,fenced,global,"Motion commands present without any workspace boundary, joint limit, or singularity checks.",TP,"A=TP, B=TP; agreed"
A019,SM-5,fenced,line:33,Hardcoded acceleration 3.6 rad/s² exceeds limit 2.5 rad/s²,FP,"A=FP, B=FP; agreed"
A020,SM-2,hybrid,line:5,Critical operation at line 5 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A021,SM-2,collaborative,line:10,Critical operation at line 10 without nearby error handling.,TP,"A=TP, B=FP; adjudicated TP: guide SM-2: program-level criterion; no condition on a check result, no stop path, no popup(error=True) anywhere in the snippet. B objects that the flagged call (set_tcp/set_payload) is configuration, not a critical operation; that concerns the rule's wording of its claim, recorded as a design defect, not a labelling error."
A022,SM-6,fenced,line:3,No set_tcp() call before first motion command. Tool center point is undefined.,TP,"A=TP, B=TP; agreed"
A023,SM-1,hybrid,line:28,movel() without explicit acceleration parameter (a=). Robot default may exceed safe limits.,FP,"A=FP, B=FP; agreed"
A024,SM-2,hybrid,global,"No error handling found (no popup, halt, stopj, stopl, or textmsg). Critical failures will go unhandled.",TP,"A=TP, B=TP; agreed"
